id,commune,code_postal,niveau_prix,nombre_habitants_par_commune,annee_habitants,annee_consommation,consommation_totale,consommation_moyenne,gaz,created_at,updated_at
142,"Géovreisset",01100,1,912,2011,2024,651.88497,12.5362494230769,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
143,"Géovreisset",01100,1,891,2016,2024,651.88497,12.5362494230769,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
144,"Géovreisset",01100,1,843,2022,2024,651.88497,12.5362494230769,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
145,Gex,01170,5,10446,2011,2024,26744.7584,12.3304556938681,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
146,Gex,01170,5,12652,2016,2024,26744.7584,12.3304556938681,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
147,Gex,01170,5,13455,2022,2024,26744.7584,12.3304556938681,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
148,Gorrevod,01190,5,802,2011,2024,1343.06795,10.1747571969697,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
149,Gorrevod,01190,5,861,2016,2024,1343.06795,10.1747571969697,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
150,Gorrevod,01190,5,782,2022,2024,1343.06795,10.1747571969697,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
151,"Grièges",01290,2,1913,2011,2024,2733.23389,11.8321813419913,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
152,"Grièges",01290,2,1881,2016,2024,2733.23389,11.8321813419913,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
153,"Grièges",01290,2,1909,2022,2024,2733.23389,11.8321813419913,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
154,Groissiat,01100,1,1153,2011,2024,1743.45661,12.1920042657343,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
155,Groissiat,01100,1,1223,2016,2024,1743.45661,12.1920042657343,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
156,Groissiat,01100,1,1216,2022,2024,1743.45661,12.1920042657343,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
157,"Guéreins",01090,2,1341,2011,2024,2397.01855,10.8462377828054,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
158,"Guéreins",01090,2,1435,2016,2024,2397.01855,10.8462377828054,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
159,"Guéreins",01090,2,1503,2022,2024,2397.01855,10.8462377828054,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
160,"Plateau d'Hauteville",01110,4,5203,2011,2024,4588.7713,14.430098427673,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
161,"Plateau d'Hauteville",01110,4,4845,2016,2024,4588.7713,14.430098427673,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
162,"Plateau d'Hauteville",01110,4,4790,2022,2024,4588.7713,14.430098427673,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
163,Izernore,01580,4,2294,2011,2024,3468.51436,10.3847735329341,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
164,Izernore,01580,4,2257,2016,2024,3468.51436,10.3847735329341,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
165,Izernore,01580,4,2262,2022,2024,3468.51436,10.3847735329341,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
166,Jassans-Riottier,01480,1,6044,2011,2024,12923.12607,10.3550689663462,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
167,Jassans-Riottier,01480,1,6391,2016,2024,12923.12607,10.3550689663462,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
168,Jassans-Riottier,01480,1,6315,2022,2024,12923.12607,10.3550689663462,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
169,Jasseron,01250,5,1622,2011,2024,2131.12426,11.3357673404255,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
170,Jasseron,01250,5,1762,2016,2024,2131.12426,11.3357673404255,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
171,Jasseron,01250,5,1900,2022,2024,2131.12426,11.3357673404255,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
172,Jayat,01340,1,1076,2011,2024,268.86828,10.7547312,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
173,Jayat,01340,1,1166,2016,2024,268.86828,10.7547312,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
174,Jayat,01340,1,1276,2022,2024,268.86828,10.7547312,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
175,Jujurieux,01640,6,2124,2011,2024,1820.33855,10.6452546783626,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
176,Jujurieux,01640,6,2181,2016,2024,1820.33855,10.6452546783626,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
177,Jujurieux,01640,6,2209,2022,2024,1820.33855,10.6452546783626,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
178,Lagnieu,01150,3,6785,2011,2024,337590.77,337590.77,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
179,Lagnieu,01150,3,7090,2016,2024,337590.77,337590.77,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
180,Lagnieu,01150,3,7321,2022,2024,337590.77,337590.77,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
181,Leyment,01150,3,1265,2011,2024,1769.24938,10.2268750289017,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
182,Leyment,01150,3,1285,2016,2024,1769.24938,10.2268750289017,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
183,Leyment,01150,3,1417,2022,2024,1769.24938,10.2268750289017,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
184,Loyettes,01360,6,2825,2011,2024,2275.98481,9.68504174468085,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
185,Loyettes,01360,6,3145,2016,2024,2275.98481,9.68504174468085,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
186,Loyettes,01360,6,3468,2022,2024,2275.98481,9.68504174468085,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
187,Malafretaz,01340,1,1018,2011,2024,1967.60046,10.465959893617,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
188,Malafretaz,01340,1,1188,2016,2024,1967.60046,10.465959893617,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
189,Malafretaz,01340,1,1235,2022,2024,1967.60046,10.465959893617,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
190,Manziat,01570,3,1932,2011,2024,3231.31635,12.3805224137931,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
191,Manziat,01570,3,1977,2016,2024,3231.31635,12.3805224137931,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
192,Manziat,01570,3,1985,2022,2024,3231.31635,12.3805224137931,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
193,Marboz,01851,1,2185,2011,2024,2253.35057,11.3805584343434,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
194,Marboz,01851,1,2226,2016,2024,2253.35057,11.3805584343434,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
195,Marboz,01851,1,2262,2022,2024,2253.35057,11.3805584343434,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
